Name,Link,Founding Year,"Type of Venture (charity, project, academic, for-profit)",Region,Country (of Origin),Countries of Operations,UNCRPD Level,City,Lead Actory: background of founders,Funder,"Type of Innovation (4Ps): Process, Product, Paradigm, Position","Impairment category (mobility, visual, hearing, cognitive)",Wicked Problem,Radically different Interaction: whats the interaction and how it overcome challenges,Cocreation aspect,Value and usefulness to the user,Open or scalable aspect: need to explain,"Startup Stage (Existence, Survival, Disengagement, Success, Growth, Take-off, Maturity)",References
DLC Dynamic Limb Centre,https://www.dynamiclimbbd.com/,2000,For Profit Organization,South-East Asia,Bangladesh,Bangladesh,ratified,Dhaka ,Prosthetics Services,Self Sustained following intiial loan grants,Product,"Prosthesis, mobility/dexterity","Custom prostheses and unique, bespoke fittings are expensive and inaccessible at all levels. ","Streamlines the process of finding prosthesis with the highest graade materials, with bespoke designs available in custom measurment. ",Documents success so as to increase user trust in prostheses.,"This is the first company organisation within Bangladesh to provide bespoke prostheses to a high standard. Also supplies other materiasl to assist with mobility/dexterity issues, such as wheelchairs, crutches etc.",Non-scalable- Limited to access within the region,Success-Growth [Leading Orthosis and Prosthesis Development Power in Bangladesh],https://www.dynamiclimbbd.com/about.php,,,,,,,,,,,,,,,
 BRAC Limb and Brace Centre in Dhaka,http://www.brac.net/program/health-nutrition-and-population/disability-care/,2000,For Profit Organisatin,South-East Asia,Bangladesh,Bangladesh,ratified,Mymensingh,Social Enterpirse,"Backed by BRAC, as well as the Jolkona Foundation","Product, Process","Prosthesis, mobility/dexterity","While the Limb and Brace Centre offers a tiered payment system, quality of life regarding available prosthesis still frames itself within financial accessability.",Offers physical therapy and rehabilitatin with their prosthetics. Profits largely go back into investing BRAC's various other projects.,Tiered payment system allows a degree of accessibility. Documents and publishes successes. ,"The limb and brace centre develops its own prosthesis, as well as providing physical therapy and rehabilitation to assist those with prosthetics limbs adjustment period, rather than simply providing the prosthetic.","Scalable - backed by BRAC, witht he potential to open additional centres following success.",Success,http://blog.brac.net/a-visit-to-bracs-limb-and-brace-centre/,,,,,,,,,,,,,,,
CRPCentre for the Rehabiliation of the Paralysed ,crp-bangladesh.org,1979,For Profit Organisatin,South-East Asia,Bangladesh,Bangladesh,ratified,Dhaka,Rehabilitation Centre,"Various grants, and self sufficient since its origin. Currently backed by the Red Cross in a number of projects.","Position, Process",Broad scope,"Provides community based services within Bangladesh. Appears to have a very strong organsiation infrastructure taht could be applied to similar countries, however the CRP is limited to just Bangladesh. Its success stems from decades of work and therfore cant be compared with the sucess of start ups with similar aims. ","Provides medical treatment as well as rehabilitation and support services, engagin with both the physcial, psychological, emotional and social aspects of living wwith disability.",Highly holsitic in the way that the organsiation consideres diability. Consideres all asepcts in their mission.,"the CRP's vision and action statment is 'to ensure the inclusion of boys and girls , women and men with disabilities into mainstream society. Strives for equity. Aims to promote an enviornemtn where those with disability have the same access to health resources, education, employment, and information.",Scalable- has championed resource centres in different parts of the country. No scope of influence outside of Bangladesh at present. ,Maturity,crp-bangladesh.org/about-crphttps://www.icrc.org/en/doc/assets/files/publications/icrc-002-0126t.pdf,,,,,,,,,,,,,,,
Centre for Disability in Development - AD Centre,https://cdd.org.bd/,1996,Not for profit Organisation,South-East Asia,Bangladesh,"International Influence, Bangladesh Primarily",ratified,Dhaka,CDD sub project in Bangladesh,CDD exisitng funding,"Position, Process","Assistive devices, mobility and dexterity, prosthetics","The CDD provides an invaluable support system for centres like this oe; the issue being that in a number of places, ther e simply isnt enough fundingo or knowldge to devrlop start-to--end developments that can engage sucessfully with local context. Part of the reason these centres have been so sucessful is they had so muhc funding and access to information to well inform and justify their decision making. Any failure to implement changes can be written off thanks to the safety net of the available CDD funds.","Extensive experience in the manufacture of prosthesis and orthosis products, as well as various other mobility/dexterity properties. The purpose of this centre is to ensure that AP are developed under the needs of local context.","Operates a well received delivery system in the disability feild. Multiple sub organisations share involvmenet, both government and non government powers. ","All projects and treatments are modern and evidence based, combined with state-of-the-art technical practices to produce strong prosthetics with long lifespan.","Scalability is evidenced. as this is a sub project of the CDD, an organisation with renouned internashional influence. ",Success,https://cdd.org.bd/2019/11/21/assistive-device-technology/,,,,,,,,,,,,,,,
Innovation to inclusion i2i,https://www.disabilityinnovation.com/projects/innovation-to-inclusion-i2i,2015,"NGO technical programme, academic",South-East Asia,UK,"Bangladesh, Kenya",ratified,Dhaka - Formal Sectors of Bangladesh and Kenya,Technical Program,UK Aid,Position,Employment - access to paid private secotr work for those with disabilities,"Tackles the issue of employment discrimination based upon disabiities and the hiring biases that come with it. Unfortunatley, preventing ushc biases can be difficult, as it can be tough to ensure equity across the hiring processes within a country.","The program challenges both social and gender norms within employment to ensure that men and women with disabilities are able to find work; the program does this by enlisting the help of a number of consortium partners, such as the Bangladesh Business and Disability Network","Focuses on the Disability Employment Pathway (DEP) to bring confidence, digitial literacy and soft skills to those with disabilities, to help with employment.",Innovation to Inclusion (i2i) is a three-year programme focused on technological initiatives that directly improve access to paid private sector work for people with disabilities in Kenya and Bangladesh.,Scalable,Success,https://www.disabilityinnovation.com/projects/innovation-to-inclusion-i2i,,,,,,,,,,,,,,,
forOldy Project,Corporate Introduction � foroldy,2017,Social Development Project,South-East Asia,Thailand,Thailand,ratified,Pattaya,Social Development Project,"The Help Without Borders Foundation, HelpAge International",Position,Mobility,"Donated materials will not cater to every individual, with individuals having to settle for less-than ideal mobility aids based upon what is available rather thna the best solution. While access to second hand materiasl is beneficial compared with no access at all, accessability to the right issues remains an issue routed in financial unavailability.","Takes in damaged or outdated mobility materials. Restores them and makes them available for pruchase or rent, at a low price suitable for those from low income backgrounds. Allows those in need to maintain a sense of agency and dignity; they are not receiving a hand out, and are receiving wuality items. ",Engages well with local community and restores materials to bring new purpose and longevity to assistive products. Makes assistive products for the elderly more assessible as they are restored items and not bought new stock. ,"Provides a pathway for assistive products at a lower price point, as users will be buying second hand, restored materials. ","Scalable, built on the structures of similar projects.",Success.,https://www.ahwin.org/foroldy-grandpa-grandma-shop/,,,,,,,,,,,,,,,
Meditech Solution eye-tracking device,Eyetracking | MediTECH Electronic GmbH,2009,Company for Project,South-East Asia,Thailand,Thailand,ratified,Bangkok,Tech Company Sub Project,InVent ,Product,Visual - Sight,Project struggles to get over the cost of the innovation so as to bring the product to market. ,The device uses an HD camera and infrared sensor to detect eye movements and allows the patient to use a second view of the desired position instead of issuing a command like pressing enter to select the menu for communicating. Opperates with multiple languages.,Incorporates livechat support along with an alert system. ,Provides a different way of accessing an interface where the user might struggle with motor function.,"Non Scalable at present, considering the technology limitation.",Disengagement,https://www.meditech.de/en_US/eyetracking,,,,,,,,,,,,,,,
Brain Dynamics Technology,About us (braindynamics.co.th),2014,"For Profit, Research and Development Company",South-East Asia,Thailand,"Thailand, Singapore",ratified,Bangkok,Tech Compaany,"funded by AIRmaker, Expara",Product,"Mobiltiy, Paralysis","Cost of implementation is an issue, and learning to use technologies such as this one can be frustrating during initial usage.","Champions a new method of communcation without motor involvmenet, capable of interpreting brain signals. This provides a new means of communication that has not been seen before, which has been expanded into operation outside of its origin in Thailand.","Allows those with debilitating paralysis to have stronger usability with technology, and provides a different method of spoken communciation usign assistive products. ","Provides a new method of communiation for those with extensive and debilitating paralyisis, that circumvents the need for motor function as a means of interacting with user interfaces. Instead, Brain Dynamic Technology has developed a system to communicate using a tablet with voice generation software, and a non-invasive wireless brain signal measuring device. ","Scalable, as the solution has been  drawn out and well intergrated into different countries outside its country of origin. ",Success,Brain Dynamic Technology (braindynamics.co.th),,,,,,,,,,,,,,,
"GoGoTech, ABBY Wheelchair","ABBY l Safe, Advanced, Affordable Personal Mobility | ABBY by GOGOTECH",unlisted,For Profit,South-East Asia,Thailand,Thailand,ratified,Bangkok,Tech Company,Self funded,Product,Mobility Dexterity ,"Securing the funding to implement the product, need is higher than resouces available to the company. Long waitlist times.","A quick release, foldable mobiltiy product that fills a space nin the consumer marlet.",Allows individuals with weaker dexterity to travel around more easilyy in a moblity product that is less bulky compared with similar products on the market.,"the ABBY product has a number of senosrs and screens built in to enhance functionality. The product can also emorise routes, for when the idnvidual eneds to use both hands and save time. ","Scalable, but limited in funding. ",Survival,"ABBY l Safe, Advanced, Affordable Personal Mobility | ABBY by GOGOTECH",,,,,,,,,,,,,,,
MEiD Medical information storage wrist product,About Us � MEiD (meidlife.com),2018,For Profit,South-East Asia,Thailand,Internationally bought,ratified,Chatuchak,Product ,Initially corwdfunded with support from Expara,Product,"Relevant to those with invisible diabilities, or disabilities that are hard to  identify with high risk levels.","Categorising every type of medical infomration relevant to every medical condition can be difficult to streamline, ","Allows the user to document various medical information, such as the individuals name, disability, emergency contact information, medications, blood type etc. ","Brings a peace of mind to the user and allows them to keep all of their important medical details regarding their disability in one place, that is readily accessible, should medics need to find them. ",Data can be accessed using a QR code provided within the smartwatch model. Removes the need for locating individuals medical data from paper copies at various establishments. Reduces the amount of time needed by medics to proide treatment.,"Scalable, products can be bought worldwide. ",Success,https://meidlife.com/tutorial/,,,,,,,,,,,,,,,
Meticuly Prosthetics,https://www.meticuly.com/,2017,For profit,South-East Asia,Thailand,Thailand,ratified,Bangkok,For profit sub project,Meticuly,Product,Mobility and Prosthetics,Cost of implementation.,Developer of prosthetic using titanium 3D printing technology. The company has developed a titanium 3D printing technology to develop prosthetic implants. The company offers 3D printed implants customized & co-designed with help of the doctor.,"High quality mobility productts and prosthetics can be produced, which will provide a longer product lifespan and usage period for the user. ","Puts the user needs first, strives to create solutions that fit the user individually. Cost is subsequently higher for these higher grade services.",Scalable.,Success,https://www.meticuly.com/who-we-are/,,,,,,,,,,,,,,,
Kerjabilitas,https://kerjabilitas.com/,2014,for profit,South-East Asia,Indonesia,Indonesia,ratified,Yogyakarta,Startup,"Ford Foundation and Google : (https://devjobsindo.org/organisations/kerjabilitas/#:~:text=Kerjabilitas%20has%20more%20than%209%2C000,by%20Ford%20Foundation%20and%20Google.)","Product, Process","challenge for people with disability to get access to job opportunities as lingering misconceptions and lack of awareness among the public greatly hinders their efforts in securing good, stable jobs","challenge for people with disability to get access to job opportunities as lingering misconceptions and lack of awareness among the public greatly hinders their efforts in securing good, stable jobs",enables its users to personalize their job and career searches by allowing them to look for job vacancies based on their disabilities and requirements,engages heavily with the communities of its users so that it can spread awareness and change public perception,Job opportunities & career resources,Open for disabled people to use and scalable as a product to other countries,Success, https://www.crunchbase.com/organization/kerjabilitas https://absolutemarket.org/news/meet-the-indonesian-startup-thats-changing-the-job-landscape-with-its-focus-on-the-disabled/ ,,,,,,,,,,,,,,,
TuneMap,https://tunemap.org/,2016,"project, for profit",South-East Asia,Indonesia,Indonesia,ratified,Bandung,Startup: Social Enterprise,"UN Volunteers, Open Data Institute, https://pitchbook.com/profiles/company/230605-12#funding","Product, Process",visual ,Inaccessible road and paths in Indonesia that affects how people with visual impairment to travel around; lack of available data on disability and accessibility in Indonesia,"provides independence for the blind to be able to travel safely and comfortably, even if alone, while also allowing them to map their city and inform of any obstacles or barriers","created a campaign to invite the wider community to contribute as volunteers to map accessibility conditions and report any abnormalities that may cause danger to blind people on sidewalks. Through the app, residents can also mark safe points, helping blind people plan their routes. ",Open data on the mapping the accessibility and pathways of the city,Open data to be updated and shared,Existence,https://international.thenewslens.com/article/105367,,,,,,,,,,,,,,,
Hear Me,https://hearme.id/,2019,For Profit Organization,South-East Asia,Indonesia,Indonesia,ratified,Bandung,Digital Startup,Works with multiple partners around Indonesia but no known funders,Product,Hearing,People who are deaf has a hard time communicating with people with hearing as sign language is not taught or acquired by people with hearing. This cause a communication barrier.,Created The First Indonesian Sign Language Translator and Interpreter to bridge the communication between the Deaf and the hearing using 3D-animation figures. Also allows person with hearing to learn Indonesian sign language,"advocates for the use of the product in daily life, social functions and workplace to connect both hearing and deaf users in communicating and translating for each other.","Allows people who are deaf to understand whats being verbally said through the application, as well as allow people with hearing to learn how to use Indonesian sign language",Open as it is free to be downloaded by anyone,Survival,https://myjms.mohe.gov.my/index.php/ajrbm/article/view/10221,,,,,,,,,,,,,,,
Organisasi Harapan Nusantara (OHANA) Indonesia,https://www.ohanaindonesia.org/,2017,Non-profit,South-East Asia,Indonesia,Indonesia,ratified,Yogyakarta,Organization,Disability Rights Fund,Paradigm,disabled women and children,"Disabled people in Indonesia are often discriminated and stigmatized such that there are no equal opportunities provided for them. Not only that, but the government also did not actively participate in ensuring that disabled people have access to equal opportunities.",Ohana focues on providing and increasing equal access and opportunities for disabled people in all sectors through policy-making and advocacy while providing facilities and training programs focused for wheelchair-use,"empower DPOs and assist them in learning about services, technology, appropriate gear maintenance as well as to develop these projects independently as a livelihood for local DPOs.","(1) facility capable of storing, fitting and refurbishing hundreds of wheelchairs, as well as have highly trained and dedicated staff are capable of servicing both every da as well as complex rehabs wheelchairs. (2) training (work, education, technology use) sessions to empower disabled people ","Open to join for free, scalable to areas in Indonesia but not worldwide as it focuses on the challenges happening in the region",Success,https://www.ohanaindonesia.org/,,,,,,,,,,,,,,,
Flexmo,https://www.goflexmo.com/,2017,for profit,South-East Asia,India,India,ratified,Delhi,Academic Institue,BIRAC (government of India),Product,Mobility,"Unaffordable high-quality crutches, low-quality locally available products.",Bio inspired design from the human foot for a hand crutch,One user cocreated the initial design and prototyping,Non slip and strong crutches,CSR funded scaling,Success ,https://yourstory.com/2019/05/iit-delhi-startup-flexmotiv-medtech-crutches/amp,,,,,,,,,,,,,,,
NeoBolt,https://www.neomotion.in/neobolt.php,2021,for profit,South-East Asia,India,India,Ratified,Chennai,Startup,IIT Madras ,Product,Mobility,"Lack of independence as a result of using wheelchairs, cuts out transfers and allows user to go much further on their own without reliance on public transport","Neobolt turns a wheelchair into a scooter, allowing for faster travel and travel on road without transferring into another device",Researchers collaborated with organisations and hospitals working with people with mobility disabilities,"Independence, less reliance on inaccessible public transport or other people giving lift. Scooter is all terrain",Scaling funded by investment,Take-off,https://www.neomotion.in/index.php,,,,,,,,,,,,,,,
"TOGETHER - Educational centre for deaf, blind and non-disabled children Hamhung e.V",https://www.together-hamhung.org/en/information/together,2008,charity,South-East Asia,Germany,north korea,ratified,Pyongyang,Social contributions,"WFD and KFPD, various north-korean aurthorities",process,visual & hearing,There are difficulties in information exchange with North Korea and lack of adequate financial support.,"create good conditions for a self-confident and active life in well-connected communities of deaf, blind and deaf-blind people TOGETHER WITH the North Korean Deaf, Blind and Deaf-blind","do everything together with the Deaf and Blind. the disabled, who stand in the first row. This is the way they work in the organization and they demand this style of work also from all their partners.",create good conditions for a self-confident and active life,Not open or scalable as its specific to North Korea,Success,https://www.together-hamhung.org/en/projects/together,,,,,,,,,,,,,,,
DIRECT,https://sites.google.com/foraed.com/direct/home,2019,project,South-East Asia,Bhutan,Bhutan,ratified,Thimphu,University cooperation project,Global Challenges Research Grant by UK Official Development Assistance,process,participation of persons with disabilities,Lack of targeted vocational training for the disabled,"An Online Resource and Learning Center
Supporting Socio-Economic Inclusion of Persons with Disabilities 
in Low and Middle Income Countries",Work with universities and organizations to complete projects,"DIRECT is an online resource and learning center focused on advocating, supporting, and advancing socio-economic participation of persons with disabilities through meaningful work and social participation. The focus of DIRECT is specifically on low and middle income countries (LMICs) through non-resource-intensive policies, strategies, and interventions. However, we believe these strategies can be a benefit for inclusive socio-economic participation in any country, regardless of resource availability. ",Open as it is free to be downloaded,Success,https://sites.google.com/foraed.com/direct/home,,,,,,,,,,,,,,,
EYE-D,https://eye-d.in/,2014,For Profit ,South-East Asia,india,India,ratified,Bangalore,startup,ELEVATE 100 programme (by India government),"product, process",visual,"A lot of visually impaired do not get access to technology that can help them be self-reliant and thereby walk the path of upliftment, Either due to lack of awareness, knowledge or due to financial constraints.","Eye-D builds innovative and affordable solutions ( Eye-D app and Eye-D Smart Glass) for the blind and Visually Impaired (VI) individual living under poverty line to achieve independence in 3 major areas � Learning, Identification and Navigation.","partnerships built with leading non-profits across India, Nepal and Bangladesh to work with and impact on the visually impaired community at large.",Solutions are affordable to visually impaired individuals living under poverty line. They not only help them achieve daily chores but also make the world more accessible for them.,"Scalable as the product are operational in 12 languages and it has 9,000 active users in over 160 countries. Free version available to download from APP store. ",Success Disengagement,"https://timesofindia.indiatimes.com/business/startups/trend-tracking/startups-products-for-disabilities/articleshow/53468249.cms

https://www.thehindu.com/news/cities/bangalore/ensuring-more-options-for-persons-with-disabilities/article21251906.ece",,,,,,,,,,,,,,,
See Sound Live,https://seesoundlive.com/,2018,For Profit,South-East Asia,India,india,ratified,New Delhi,Startup: Social Enterprise,Self-funded,paradigm,hearing & speech,"A deaf person may be capable of producing sounds. But when they try to speak, they are not able to get the auditory feedback, and so they don�t know if they are making the right sounds. This missing feedback stops them from developing clear speech.","See Sound Live provides feedbacks via visual cues: when a deaf person tries to speak, the application creates a visual equivalent for the sound, seen as a pattern of vivid colors. These patterns are markedly different for a different sound and remain the same if the same sound is repeated.","Seesoundlive worked closely with Vishwas school, where teachers have been trained to build capacity for children with hearing and speech impairements, to co-create this innovative learning tool.","Users' brains are getting this valuable visual feedback on the spoken sound � but instead of the ear, it is through the eyes, which help them develop clear speech.",Open in both websites and softwares as it is free to use,Survival,https://science.thewire.in/the-sciences/what-assistive-technologies-can-do-to-make-stem-more-inclusive/,,,,,,,,,,,,,,,
Kito Rato coffee shop by Kita Setara Foundation,https://kitasetara.co.id/ (currently unavailable),2017,"For Profit, Organization",South-East Asia,Indonesia,Indonesia,ratified,Jakarta,Social organization,Self-funded,"Process, Paradigm","quadriplegic, deaf, and blind",Disabled people in Indonesia are mostly living in proverty and dependently on others as there are no opportunity to explore beyond that,"Setting up an education center to teach entrepreneurship skills to disabled people become an entrepreneur or have the equal opportunity for employment, as well as a coffee shop called Kito Rato, run by disabled people from the program.","Coffee shop run by disabled people, so that they could apply their knowledge and gain experience",Offers skill and knowledge for better employment opportunity,Open for disabled people to use and scalable as a product to other countries,Survival,https://aim2flourish.com/innovations/kita-setara-nurturing-indonesias-disabled-community-through-disability-curriculum-business-study,,,,,,,,,,,,,,,
Suarise,https://suarise.com/,2017,Social Enterprise (For profit),South-East Asia,Indonesia,Indonesia,ratified,Jakarta,Social Enteprise,"Clients, Users","Process, ",Visual,Digital field is not accessible for people that are visually impaired which is a huge challenge as more things become online ,"Setting up an education center to teach digital skills such as content creation, marketing etc to people that are blind to become more empowered in using digital tools, as well as promoting graduates of programs to employers; promotes digital accessibility in Indonesia called #TantanganAksesibilitas, both from government and private sectors",Job opportunities & career resources,Offers digital skill and knowledge for better employment opportunity; as well have more digital platforms to become accessible,Open for disabled people to use and scalable as a product to other countries,Success,https://suarise.com/about/,,,,,,,,,,,,,,,
Youth4jobs,https://www.youth4jobs.org/index,2012,Non-profit Organizations,South-East Asia,india,india,Ratified,Hyderabad,startup,Donations,"Process, ",people with disabilities,"Many disabled people have a low level of education, and many can not use the website to obtain useful resource information.",Youth4Jobs focuses on education and employment of persons with disabilities. It is powered by the fact that a job to one member of the family takes the entire family out of poverty in sustained manner.,education and employment of persons with disabilities,"Youth4Jobs focuses on education and employment of persons with disabilities.
It is powered by the fact that a job to one member of the family takes the entire family out of poverty in sustained manner.",Open for disabled people to have oppotunities to get jobs,Success,https://www.unicef.org/rosa/rosa-home/south-asia-youth-skills-and-solutions-forum/youth-4-jobs,,,,,,,,,,,,,,,
